TextBlob,brand,clean,favourites_count,followers_count,friends_count,id,location,name,orig,polarity,pubdate,screen_name,sentiment,statuses_count,subjectivity,user_id,verified
first pictures of the 48 mp redmi x teased by xiaomi ceo  ,xiaomi,first pictures of the 48 mp redmi x teased by xiaomi ceo  ,19,36199,1501,1082986382300073984,,onlinesitestore,First pictures of the 48 MP Redmi X teased by Xiaomi CEO https://t.co/G5U8z1wJD7 https://t.co/qQ2ZVvMwV3,0.25,Wed Jan 09 13:04:09 +0000 2019,workonline44,positive,33431,0.3333333333333333,759232045679779840,False
12x universal telephoto lens mobile phone optical zoom telescope camera for iphone xiaomi huawei ,xiaomi,12x universal telephoto lens mobile phone optical zoom telescope camera for iphone xiaomi huawei ,4,24,32,1082986468220588032,USA,Gordon M. Fuller - Hot deal,12X Universal Telephoto Lens Mobile Phone Optical Zoom Telescope Camera For iPhone Xiaomi Huawei https://t.co/qB03fhDpVL,0.0,Wed Jan 09 13:04:29 +0000 2019,odkfnsmdnrs,neutral,1112,0.0,1057325831901536256,False
"original xiaomi led strip light 
buy online @  @  ",xiaomi,"original xiaomi led strip light 
buy online @  @  ",109,604,356,1082986494556626944,Bangladesh,BDSHOP.com,"Original Xiaomi LED strip light 
Buy online @ https://t.co/3b1Jb9PM8M @ https://t.co/ljKEvSNOkY https://t.co/mypQQSmycf",0.3875,Wed Jan 09 13:04:35 +0000 2019,bdshopcom,positive,12381,0.725,2732492478,False
new way of introducing xiaomi via video and logo making - ,xiaomi,new way of introducing xiaomi via video and logo making - ,30,218,145,1082986512906629121,UK,247 Tech,New Way of Introducing Xiaomi Via Video And Logo Making - https://t.co/7N3I6NFK6P,0.13636363636363635,Wed Jan 09 13:04:40 +0000 2019,247tech_,positive,31243,0.45454545454545453,3089388113,False
#xiaomi: new way of introducing xiaomi via video and logo making ,xiaomi,#xiaomi: new way of introducing xiaomi via video and logo making ,30,218,145,1082986514898972673,UK,247 Tech,#Xiaomi: New Way of Introducing Xiaomi Via Video And Logo Making https://t.co/vk5jy7O4Az,0.13636363636363635,Wed Jan 09 13:04:40 +0000 2019,247tech_,positive,31244,0.45454545454545453,3089388113,False
#xiaomi: teclast f7 plus ultrabook offered at $379.99 ,xiaomi,#xiaomi: teclast f7 plus ultrabook offered at $379.99 ,30,218,145,1082986534880665601,UK,247 Tech,#Xiaomi: Teclast F7 Plus Ultrabook Offered at $379.99 https://t.co/Hh1OXnFr97,0.0,Wed Jan 09 13:04:45 +0000 2019,247tech_,neutral,31246,0.0,3089388113,False
"amazfit outdoor anti-slip running athletic shoes for couple from xiaomi youpin  #gearbest


ahora: 43.80 
 ",xiaomi,"amazfit outdoor anti-slip running athletic shoes for couple from xiaomi youpin  #gearbest


ahora: 43.80 
 ",2,219,1285,1082986652782465024,,Atrapazon,"AMAZFIT Outdoor Anti-slip Running Athletic Shoes for Couple from Xiaomi Youpin  #gearbest
⭐⭐⭐⭐⭐

⭕️Ahora: €43.80 
❌… https://t.co/U9JO2Pfy35",0.0,Wed Jan 09 13:05:13 +0000 2019,atrapazon,neutral,24940,0.0,934027863979905024,False
price list #xiaomi mi a1 dual sim 64gb laguna  #philiphines #makati #cebu,xiaomi,price list #xiaomi mi a1 dual sim 64gb laguna  #philiphines #makati #cebu,1,10,54,1082987089602330626,makati,komputeramoh,Price List #Xiaomi Mi A1 Dual Sim 64GB Laguna https://t.co/PnKe2uQJYl #philiphines #makati #cebu,0.0,Wed Jan 09 13:06:57 +0000 2019,komputeramoh1,neutral,35097,0.0,774852214808387584,False
now available on our store: #2017 hoco best metallic bass stereo earphone with mic in-ear headphone wired headset f ,xiaomi,now available on our store: #2017 hoco best metallic bass stereo earphone with mic in-ear headphone wired headset f ,0,14,17,1082987146615668736,,Dealsdom,Now available on our store: #2017 HOCO Best Metallic Bass Stereo Earphone with Mic In-ear Headphone Wired Headset f… https://t.co/fsJwEjLr5I,0.4166666666666667,Wed Jan 09 13:07:11 +0000 2019,dealsdom,positive,1745,0.39999999999999997,931885293854253062,False
"how to recover deleted and lost sms from xiaomi
",xiaomi,"how to recover deleted and lost sms from xiaomi
",274,7,57,1082987202898886656,People's Republic of China,waka,"How to recover deleted and lost SMS from Xiaomi
https://t.co/Iy2ffAyzlD",0.0,Wed Jan 09 13:07:24 +0000 2019,wakahoneyhe,neutral,733,0.0,842347020547309568,False
